Steps out_loss reg_loss point_loss train_accuracy time memory
318 0.275 26.782 4.519 0.89 82.39 4307.3
319 0.189 26.769 4.744 0.92 82.52 4307.3
320 0.179 26.757 4.986 0.93 82.67 4307.3
321 0.345 26.745 5.119 0.86 82.80 4307.3
322 0.229 26.732 4.728 0.92 82.92 4307.3
323 0.199 26.720 4.609 0.93 83.07 4307.3
324 0.152 26.707 4.347 0.94 83.15 4307.3
326 0.273 26.694 4.651 0.89 84.89 4307.3
327 0.273 26.682 4.461 0.89 85.03 4307.3
328 0.216 26.670 4.444 0.92 85.17 4307.3
329 0.211 26.657 4.474 0.91 85.32 4307.3
330 0.235 26.645 4.078 0.90 85.45 4307.3
331 0.221 26.632 4.400 0.91 85.60 4307.3
332 0.208 26.620 4.491 0.91 85.73 4307.3
333 0.198 26.607 4.124 0.92 85.88 4307.3
334 0.219 26.595 4.166 0.91 85.99 4307.3
335 0.227 26.582 3.940 0.91 86.14 4307.3
336 0.290 26.569 4.087 0.89 86.27 4307.3
337 0.209 26.556 4.032 0.93 86.41 4307.3
338 0.181 26.544 3.988 0.93 86.55 4307.3
339 0.216 26.531 4.232 0.92 86.69 4307.3
341 0.194 26.518 4.114 0.92 88.40 4307.3
342 0.177 26.506 3.943 0.93 88.54 4307.3
343 0.227 26.493 4.163 0.90 88.68 4307.3
344 0.270 26.481 3.796 0.90 88.83 4307.3
345 0.171 26.468 3.825 0.93 88.95 4307.3
346 0.183 26.455 3.808 0.93 89.10 4307.3
347 0.158 26.443 3.941 0.95 89.24 4307.3
348 0.402 26.430 3.584 0.84 89.38 4307.3
349 0.262 26.417 3.672 0.91 89.50 4307.3
350 0.192 26.405 3.652 0.93 89.63 4307.3
351 0.181 26.392 3.796 0.93 89.77 4307.3
352 0.215 26.379 3.601 0.92 89.90 4307.3
353 0.269 26.367 3.517 0.90 90.04 4307.3
354 0.148 26.354 3.643 0.94 90.20 4307.3
356 0.250 26.341 3.652 0.90 91.91 4307.3
357 0.190 26.329 3.761 0.92 92.07 4307.3
358 0.193 26.316 3.597 0.93 92.21 4307.3
359 0.278 26.304 3.403 0.90 92.34 4307.3
360 0.221 26.291 3.414 0.92 92.47 4307.3
361 0.164 26.279 3.472 0.94 92.60 4307.3
362 0.212 26.266 3.292 0.91 92.74 4307.3
363 0.182 26.253 3.418 0.93 92.88 4307.3
364 0.160 26.241 3.500 0.94 93.02 4307.3
365 0.309 26.228 3.334 0.87 93.18 4307.3
366 0.184 26.216 3.436 0.93 93.32 4307.3
367 0.198 26.203 3.352 0.93 93.46 4307.3
368 0.258 26.190 3.075 0.91 93.61 4307.3
369 0.202 26.178 3.318 0.91 93.76 4307.3
371 0.240 26.165 3.170 0.90 95.47 4307.3
372 0.250 26.153 3.577 0.91 95.62 4307.3
373 0.243 26.140 3.285 0.92 95.77 4307.3
374 0.210 26.128 3.426 0.91 95.91 4307.3
375 0.177 26.116 3.030 0.93 96.04 4307.3
376 0.182 26.103 3.281 0.94 96.19 4307.3
377 0.195 26.091 3.098 0.93 96.33 4307.3
378 0.227 26.079 3.025 0.92 96.45 4307.3
379 0.137 26.066 3.049 0.95 96.61 4307.3
380 0.200 26.054 3.253 0.92 96.75 4307.3
381 0.186 26.041 3.187 0.93 96.88 4307.3
382 0.210 26.029 3.163 0.91 97.03 4307.3
383 0.167 26.016 3.075 0.94 97.17 4307.3
384 0.327 26.004 3.180 0.86 97.27 4307.3
386 0.186 25.991 3.181 0.93 99.00 4307.3
387 0.237 25.979 3.295 0.90 99.13 4307.3
388 0.252 25.967 3.008 0.91 99.29 4307.3
389 0.269 25.955 3.050 0.89 99.43 4307.3
390 0.182 25.942 3.050 0.93 99.56 4307.3
391 0.186 25.930 2.993 0.93 99.69 4307.3
392 0.183 25.918 2.948 0.93 99.83 4307.3
393 0.158 25.906 3.060 0.94 99.97 4307.3
394 0.168 25.893 3.167 0.93 100.12 4307.3
395 0.160 25.881 3.211 0.93 100.27 4307.3
396 0.167 25.869 3.122 0.94 100.42 4307.3
397 0.223 25.857 3.164 0.92 100.56 4307.3
398 0.174 25.844 3.228 0.93 100.70 4307.3
399 0.149 25.832 2.999 0.95 100.80 4307.3
401 0.154 25.820 3.201 0.94 102.52 4307.3
402 0.173 25.808 3.103 0.93 102.64 4307.3
403 0.191 25.796 3.134 0.93 102.79 4307.3
404 0.151 25.784 3.189 0.94 102.93 4307.3
405 0.220 25.772 3.226 0.91 103.08 4307.3
406 0.212 25.760 3.191 0.92 103.20 4307.3
407 0.181 25.748 3.207 0.92 103.33 4307.3
408 0.158 25.736 3.085 0.93 103.46 4307.3
409 0.207 25.724 3.024 0.92 103.59 4307.3
410 0.196 25.712 3.209 0.93 103.71 4307.3
